성분,기능성 내용
비타민 A,"어두운 곳에서 시각적응, 피부와 점막 유지, 상피세포 성장 발달, 동물성 및 녹황색 식물성 식품에서 유래, 로돕신 합성, 눈 영양공급"
비타민 D,"칼슘과 인의 흡수, 뼈 형성과 유지, 재흡수 촉진, 자외선에 의해 피부에서 합성, 비타민 D2와 D3 존재"
비타민 E,"유해산소로부터 세포 보호, 항산화 작용, 지질과산화 억제, 토코페롤·토코트리에놀 형태"
비타민 K,"혈액응고, 뼈 형성, 필로퀴논(K1)과 메나퀴논(K2), 응고단백질 활성화에 관여"
판토텐산,"지방·탄수화물·단백질 대사, 에너지 생성, CoA 및 ACP 구성 성분"
엽산,"세포와 혈액 생성, 태아 신경관 정상발달, 혈중 호모시스테인 수준 유지, 프테로일글루탐산 유도체"
비오틴,"지방·탄수화물·단백질 대사, 에너지 생성, 카르복실화 효소 조효소"
비타민 C,"철 흡수, 세포 보호, 항산화 작용, 결합조직 형성, 아스코르브산·디히드로아스코르브산 존재"
칼슘,"뼈·치아 형성, 신경과 근육 유지, 혈액응고, 골다공증 위험 감소"
마그네슘,"에너지 이용, 신경과 근육 유지, 효소 보조인자, 골격 구성"
철분,"• 체내 산소운반과 혈액생성에 필요
 • 에너지 생성에 필요
 • 적혈구의 성분으로 산소를 운반함
 • 헤모글로빈, 미오글로빈의 성분
 ◦ 체내 철의 2/3가 적혈구내의 헤모글로빈에 존재하며, 25%는 저장철, 15%는 미오글로빈과 산화적대사반응 효소 구성성분
 ◦ 철은 헴철과 비헴철의 두 형태 존재. 헴철은 흡수 용이, 비헴철은 식이요인 영향"
아연,"• 정상적인 면역기능과 세포분열에 필요
 • 인체 조직에 존재하는 미량원소
 • 핵산과 아미노산 대사에 관여
 ◦ 총량 1.5~2.5g, 대부분 근육과 골격에 존재
 ◦ 200개 이상 효소 구성 성분으로 대사 과정 및 반응 조절 관여"
구리,"• 철의 운반과 이용에 필요
 • 유해산소로부터 세포를 보호
 • 동식물에 미량 존재하는 필수 미네랄
 • 뼈, 혈액에 존재하며 셀룰로플라스민으로 존재
 • 철 이온 산화 촉진 → 트랜스페린 결합 촉진 → 헤모글로빈 생성 촉진
 • 산화환원효소 구성요소 및 촉매
 • 육류, 어류, 갑각류, 아보카도, 두류 등에 풍부"
셀렌,"• 유해산소로부터 세포 보호
 • 비타민E와 함께 지질 산화 방지 및 세포막 보호
 • 메티오닌, 시스테인 유도체와 결합 형태
 • 글루타티온 과산화효소, 셀렌단백질 등에서 기능 수행"
요오드,"• 갑상선 호르몬 합성에 필요
 • 에너지 생성 및 신경발달에 필요
 • 갑상선 호르몬 구성성분
 • 갑상선으로 유입 비율은 영양상태에 따라 조절
 • 성장기·기초대사 조절 역할
 • 어류·해조류 등에 풍부"
망간,"• 뼈 형성, 에너지 이용, 항산화 작용에 필요
 • 식이 흡수율 1~3%로 낮음
 • SOD, 유산탈수소효소 등 효소 구성
 • 골격형성과 영양대사에 필수"
몰리브덴,"• 산화·환원 효소 활성화에 필요
 • 생체 내 필수 미량원소
 • 잔틴·알데하이드·설파이트 산화효소 구성
 • 간, 신장, 곡류, 우유 등에 저장 또는 존재"
칼륨,"• 체내 물과 전해질 균형 유지
 • 세포내 주요 양이온, 삼투압 및 신경전달 관여
 • 산-알칼리 균형 유지
 • Na/K 펌프 작용
 • 채소, 과일, 토마토, 바나나, 우유 등 함유"
크롬,"• 영양보급
 • 체내 존재량은 약 6mg
 • 당내성 인자의 성분
 • 당대사 및 인슐린 작용 조절
 • 식이 상태에 따라 흡수율 변화"
식이섬유,"• 배변활동 원활, 식후 혈당상승 억제, 콜레스테롤 조절
 • 수용성: 포도당 흡수 억제, 불용성: 장 환경 개선
 • 장내 통과시간 단축, 발효성, 변 무게 증가
 • 과일·채소·곡류·해조류·콩류 등 급원"
두충우슬추출복합물,갱년기 남성의 건강에 도움을 줄 수 있음
차조기등복합추출물,관절 건강에 도움을 줄 수 있음(기타기능) .
바이오게르마늄 효모,면역기능증진에 도움을 줄 수 있음
PMO 참밀알부민,참밀알부민은 급격한 식후 혈당상승을 억제하는데 도움을 줄 수 있습니다 (기타기능)
정어리펩타이드 SP100N,혈압을 조절하는데 도움을 줄 수 있음
자일리톨,충치발생 위험 감소에 도움을 줌(치아건강) ( )
참당귀뿌리추출물,노인의 인지능력 저하의 개선에 도움을 줄 수 있음(기타기능) -
씨제이 히비스커스 등 복합추출물,체지방 감소에 도움을 줄 수 있음
초록입홍합추출오일복합물,관절건강에 도움이 될 수 있음
이소말토올리고당,"장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능) ,"
이소말토올리고당,"장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능) ,"
피니톨,간 건강에 도움을 줄 수 있음
대두올리고당,"장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능) ,"
포도종자추출물,인체의 항산화능 증진에 도움을 줄 수 있음(기타기능)
식물스타놀에스테르,식물스타놀 에스테르는 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있습니다
가쯔오부시올리고펩타이드,혈압이 걱정되시는 분에게 도움을 줄 수 있음(기타기능)
헤모힘 당귀등 혼합추출물,면역기능 개선에 도움을 줄 수 있음
카제인가수분해물,혈압이 걱정되시는 분에게 도움을 줄 수 있음(기타기능)
피크노제놀-프랑스해안송껍질추출물<PYCNOGENOL>,"인체에 유해한 활성산소를 제거하는데 도움을 줄 수 있음, 혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하는데 도움을 줄 수 있음, 갱년기 여성의 건강에 도움을 줄 수 있음 , , ’"
올리브잎주정추출물 EFLA943,혈압조절에 도움을 줄 수 있음
이소말토올리고당,"장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능) ,"
황금등복합물,관절 건강에 도움을 줄 수 있음
폴리코사놀-사탕수수왁스알코올,"혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음, 혈압조절에 도움을 줄 수 있음 ,"
콩발효추출물,당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있음
바이오게르마늄 효모,면역기능증진에 도움을 줄 수 있음
아마인,콜레스테롤 감소에 도움을 줄 수 있음(기타기능)
솔잎증류농축액,건강한 혈당의 유지에 도움을 줄 수 있음(기타기능)
소나무껍질추출물등복합물,햇볕 또는 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(기타기능)
토치대두발효추출물,콩발효추출물은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다.
표고버섯균사체추출물,간 건강에 도움을 줄 수 있음(기타기능)
Enterococcus faecalis 가열처리건조분말,꽃가루에 의해 나타나는 코막힘의 개선에 도움을 줄 수 있음(기타기능)
포도종자추출물,인체의 항산화능 증진에 도움을 줄 수 있음(기타기능)
Green Mate Extract EFLA® 920,체지방 감소에 도움을 줄 수 있습니다(생리활성기능 2등급)
헛개나무과병추출분말,"알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음, 운동능력 향상에 도움을 줄 수 있음, 스트레스로 인한 피로개선에 도움을 줄 수 있음 , ,"
지아잔틴 추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
루테인/지아잔틴 복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
"홍삼, 사상자, 산수유 복합추출물",햇볕 또는 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있습니다 (기타기능)
APIC 대두배아열수추출물 등 복합물,체지방의 감소에 도움을 줄 수 있음
표고버섯균사체 AHCC,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
쏘팔메토 열매 추출물 등 복합물,전립선 건강의 유지에 도움을 줄 수 있습니다
L-글루타민,과도한 운동 후의 -글루타민 보충은 신체 저항능력 향상에 도움이 될 수 있음(기타기능)
칸탈로프멜론추출물,"산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다, 혈관벽 두께(내중막 두께 : ) 증가 억제를 통한 혈행개선에 도움을 줄 수 있음, 자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄 수 있음"
BT-11원지추출분말,성인의 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
커피만노올리고당분말,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능) ,"
구아바잎추출물 등 복합물,"과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능 )"
보이차 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있습니다.(기타기능 )
다래추출물,면역 과민반응 개선에 도움을 줄 수 있음
홍국쌀,콜레스테롤 개선
L-글루타민산 유래 GABA 함유 분말,혈압이 높은 사람에게 도움을 줄 수 있습니다(기타기능)
중쇄지방산,이 제품은 중쇄지방산을 함유하고 있어 다른 식용유와 비교하였을 때 체지방 증가가 적을 수 있음(기타기능)
CJ식물성유지 디글리세라이드,이 제품은 를 함유하고 있어 다른 식용유와 비교하였을 때 식후 혈중 중성지방과 체지방 증가가 적을 수 있음(기타기능)
카제인가수분해물,혈압이 높은 사람에게 도움을 줄 수 있습니다(기타기능)
호프추출물,호프추출물은 관절 건강에 도움을 줄 수 있습니다(기타기능)
프로바이오틱스,"유익한 유산균 증식, 유해균 억제, 배변활동 원활, 장 면역을 조절하여 장 건강에 도움을 줄 수 있음"
지방산복합물,관절건강에 도움을 줄 수 있음(기타기능) .
정제오징어유,혈행개선(기타기능)
